"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: workers"
"com.cmw.adaptiveBenchmark.benchmark.AdaptiveBenchmark.execute","thrpt",1,1,"0,108548",NaN,"ops/s",
"com.cmw.adaptiveBenchmark.benchmark.SequentialBenchmark.execute","thrpt",1,1,"0,014529",NaN,"ops/s",
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,1,"0,026000",NaN,"ops/s",2
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,1,"0,043894",NaN,"ops/s",4
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,1,"0,075992",NaN,"ops/s",8
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,1,"0,119328",NaN,"ops/s",16
