"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: workers"
"com.cmw.adaptiveBenchmark.benchmark.AdaptiveBenchmark.execute","thrpt",1,10,"0,414904","0,006660","ops/s",
"com.cmw.adaptiveBenchmark.benchmark.SequentialBenchmark.execute","thrpt",1,10,"0,044651","0,000200","ops/s",
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,086947","0,000283","ops/s",2
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,167200","0,000605","ops/s",4
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,315711","0,000974","ops/s",8
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,457873","0,004249","ops/s",16
