"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: workers"
"com.cmw.adaptiveBenchmark.benchmark.AdaptiveBenchmark.execute","thrpt",1,10,"0,188290","0,005825","ops/s",
"com.cmw.adaptiveBenchmark.benchmark.SequentialBenchmark.execute","thrpt",1,10,"0,018875","0,000171","ops/s",
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,041462","0,007412","ops/s",2
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,089944","0,000490","ops/s",4
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,158377","0,002125","ops/s",8
"com.cmw.adaptiveBenchmark.benchmark.TraditionalBenchmark.execute","thrpt",1,10,"0,198350","0,005964","ops/s",16
